Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0,0.1275177002,0.2136535645,10.14916992,10.1522194
0.003997803,0.1371002197,0.201675415,10.22099304,10.22390181
0.008026123,0.1538543701,0.2064666748,10.26887512,10.2721028
0.012054444,0.1634368896,0.2040710449,10.29521179,10.29853108
0.016082764,0.1730041504,0.201675415,10.29042053,10.2938505
0.020111084,0.1634368896,0.2040710449,10.2545166,10.25784906
0.024139405,0.1490631104,0.201675415,10.17790222,10.18099143
0.028167725,0.13230896,0.2136535645,10.05340576,10.05654617
0.032165528,0.09878540039,0.2208404541,9.892990112,9.895947778
0.036193848,0.07244873047,0.2351989746,9.739761353,9.742870141
0.040222168,0.05090332031,0.2399902344,9.612869263,9.615999268
0.044219971,0.01260375977,0.2423858643,9.497940063,9.501040744
0.048248291,-0.00895690918,0.2351989746,9.406967163,9.409911264
0.052276612,-0.01852416992,0.247177124,9.325561523,9.328855096
0.056274414,-0.0376739502,0.2567443848,9.260925293,9.264560124
0.060302735,-0.04486083984,0.2351989746,9.222610474,9.225718129
0.064300537,-0.05923461914,0.251953125,9.198669434,9.202309953
0.068328858,-0.05683898926,0.247177124,9.196273804,9.199770599
0.072326661,-0.06640625,0.2495574951,9.193878174,9.19750426
0.076354981,-0.06640625,0.2447814941,9.193878174,9.197375911
0.080352784,-0.07119750977,0.2591400146,9.172332764,9.176268902
0.084381104,-0.04725646973,0.2495574951,9.177124023,9.180638184
0.088378907,-0.07119750977,0.2567443848,9.217819214,9.221668928
0.092407227,-0.05683898926,0.2615356445,9.251342773,9.255213378
0.09640503,-0.0376739502,0.251953125,9.294433594,9.297924259
0.10043335,-0.03289794922,0.2663269043,9.347106934,9.350958257
0.104431153,-0.00895690918,0.251953125,9.402175903,9.405555397
0.108459473,0.01020812988,0.2495574951,9.476394653,9.479685584
0.112457276,0.02696228027,0.2447814941,9.600891113,9.604048892
0.116485596,0.05569458008,0.2328033447,9.756515503,9.759451524
0.120483399,0.07963562012,0.2351989746,9.876235962,9.879357123
0.124481202,0.1083679199,0.2328033447,9.988754272,9.992054489
0.128509522,0.1179351807,0.2304077148,10.07015991,10.07348585
0.132507325,0.1227264404,0.2328033447,10.12762451,10.13104325
0.136535645,0.1371002197,0.2256164551,10.14437866,10.14781344
0.140533448,0.1418914795,0.2040710449,10.12762451,10.13067404
0.14453125,0.1275177002,0.1897125244,10.08691406,10.0895038
0.148559571,0.1131591797,0.201675415,10.02467346,10.02734042
0.152557373,0.08921813965,0.2136535645,9.919326782,9.9220286
0.156555176,0.0676574707,0.2208404541,9.792434692,9.795158255
0.160583496,0.05090332031,0.2208404541,9.682296753,9.684948738
0.164581299,0.0365447998,0.228012085,9.598495483,9.601272862
0.168579102,0.02217102051,0.2304077148,9.529067993,9.531878938
0.172607422,0.01499938965,0.2399902344,9.457244873,9.46030131
0.176605225,0.003021240234,0.2447814941,9.397384644,9.400572602
0.180603028,-0.01133728027,0.2495574951,9.344711304,9.348049894
0.184631348,-0.02571105957,0.247177124,9.306411743,9.309729165
0.188629151,-0.03289794922,0.251953125,9.287261963,9.290737184
0.192626953,-0.02810668945,0.2567443848,9.277679443,9.281273809
0.196655274,-0.0376739502,0.2591400146,9.280075073,9.283768967
0.200653077,-0.04006958008,0.2543487549,9.287261963,9.290830621
0.204650879,-0.0376739502,0.2423858643,9.301620483,9.304854316
0.208648682,-0.02571105957,0.2399902344,9.311203003,9.314330772
0.212677002,-0.01612854004,0.251953125,9.330352783,9.333767919
0.216674805,-0.001770019531,0.247177124,9.363876343,9.367138294
0.220672608,0.01260375977,0.2447814941,9.399780273,9.402975381
0.224700928,0.03414916992,0.2399902344,9.450057983,9.453166526
0.228698731,0.08442687988,0.2399902344,9.466827393,9.470245197
0.232696534,0.01977539062,0.2399902344,9.488372803,9.491427965
