Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Angle (deg)
0,0.1538543701,2.859237671,9.253738403,9.686618897,17.1679691398075
0.003997802,0.15625,2.866424561,9.246551514,9.681917099,17.2210868538033
0.008026123,0.15625,2.864028931,9.227401733,9.662919772,17.2411309557691
0.012054443,0.1490631104,2.87121582,9.220214844,9.658077545,17.2946951401209
0.016082763,0.1418914795,2.866424561,9.217819214,9.654258854,17.2719715151522
0.020111084,0.1490631104,2.861633301,9.227401733,9.662096445,17.2277722632885
0.024139404,0.1514587402,2.866424561,9.229797363,9.665841344,17.250625312612
0.028137207,0.1514587402,2.859237671,9.225006104,9.659136474,17.2183390764966
0.032165527,0.1538543701,2.861633301,9.217819214,9.653020635,17.2444771025539
0.036193847,0.1538543701,2.866424561,9.232192993,9.668166754,17.2463461078113
0.040222168,0.1586456299,2.85446167,9.251342773,9.682998656,17.1450102801543
0.04421997,0.1586456299,2.84967041,9.258529663,9.688455058,17.105407407914
0.048248291,0.1538543701,2.84487915,9.258529663,9.686969602,17.0784626309503
0.052276611,0.15625,2.842483521,9.248947144,9.677145751,17.0814942355863
0.056274414,0.1538543701,2.84967041,9.244155884,9.674642661,17.1305827264568
0.060302734,0.1514587402,2.85446167,9.246551514,9.67830595,17.153580898306
0.064300537,0.1514587402,2.859237671,9.248947144,9.682004084,17.1764062630554
0.068328857,0.1442718506,2.85446167,9.246551514,9.678196148,17.1537815417441
0.07232666,0.1538543701,2.85446167,9.246551514,9.678343737,17.1535118516475
0.07635498,0.1490631104,2.85446167,9.236984253,9.669128675,17.1703671953353
0.080352783,0.1586456299,2.84967041,9.220214844,9.651847059,17.172296479698
0.084381103,0.15625,2.859237671,9.208251953,9.643213062,17.2476612762165
0.088378906,0.1490631104,2.87121582,9.208251953,9.646657666,17.3158154481974
0.092407226,0.1538543701,2.866424561,9.217819214,9.654442086,17.2716334054219
0.096405029,0.1538543701,2.864028931,9.232192993,9.667456767,17.2327863734652
0.100433349,0.1490631104,2.866424561,9.236984253,9.67266704,17.2380708397748
0.104431152,0.1490631104,2.866424561,9.236984253,9.67266704,17.2380708397748
0.108428955,0.1466674805,2.85446167,9.234588623,9.666803495,17.174625519353
0.112457275,0.1514587402,2.859237671,9.248947144,9.682004084,17.1764062630554
0.116455078,0.1514587402,2.84727478,9.280075073,9.708228818,17.0547077285732
0.120483398,0.1753997803,2.842483521,9.347106934,9.77132978,16.9118679890486
0.124481201,0.1873779297,2.861633301,9.387817383,9.816066975,16.9493043274557
0.128479004,0.18019104,2.8568573,9.366256714,9.793919914,16.9595817685603
0.132507324,0.15625,2.85206604,9.280075073,9.709711022,17.0815996131609
0.136505127,0.1394958496,2.8568573,9.277679443,9.708575002,17.1132432682452
0.140502929,0.2185058594,2.840087891,9.579345703,9.993883536,16.5099953609159
0.14453125,0.2352600098,2.832901001,9.553009033,9.966978326,16.5127480543275
0.148529052,0.1682281494,2.813751221,9.447662354,9.859199795,16.5823694877502
0.152526855,0.1873779297,2.82572937,9.553009033,9.963926864,16.4749404250605
0.156555175,0.2232818604,2.866424561,9.682296753,10.1001542,16.4871368854436
0.160552978,0.1897735596,2.85206604,9.699050903,10.11147285,16.3833322974016
0.164550781,0.1538543701,2.864028931,9.591323853,10.01098527,16.6239314384465
0.168579101,0.1490631104,2.866424561,9.435699463,9.862607866,16.8960099020179
0.172576904,0.09161376953,2.7706604,9.234588623,9.641710386,16.7000837016058
0.176574707,0.06288146973,2.579116821,8.980804443,9.344016594,16.0226898086918
0.180572509,0.07723999023,2.399551392,8.765319824,9.088159578,15.3093534025679
0.18460083,0.08203125,2.253509521,8.619277954,8.909376338,14.651367712528
0.188598633,0.08921813965,2.164932251,8.554626465,8.82476773,14.201014957533
0.192596435,0.1131591797,2.105072021,8.549835205,8.805896618,13.8306277163111
0.196624756,0.1275177002,2.059585571,8.619277954,8.862849764,13.4374757896109
0.200622558,0.1610412598,2.030853271,8.741378784,8.975633813,13.0771545333088
0.204620361,0.18019104,2.018875122,8.899398804,9.12730106,12.7789846642264
0.208618164,0.2137145996,2.033248901,9.076568604,9.3039708,12.6230366690229
0.212615967,0.23046875,2.069152832,9.229797363,9.461694809,12.6319456245971
0.216644287,0.2400512695,2.093093872,9.380630493,9.614306788,12.5743407331721
0.22064209,0.2687835693,2.117034912,9.505126953,9.741741108,12.5514296758221
0.224639892,0.3046875,2.117034912,9.588928223,9.824572039,12.4439051335741
0.228637695,0.3094787598,2.117034912,9.643997192,9.878476389,12.3749228269146
0.232635498,0.2975006104,2.126617432,9.667938232,9.90353664,12.3998711717165
0.236663818,0.2520141602,2.138595581,9.658355713,9.89550086,12.4811245416228
0.240661621,0.2232818604,2.164932251,9.660751343,9.902873469,12.6277906058871
0.244659424,0.1825866699,2.200836182,9.639205933,9.888948822,12.8591518948223
0.248657226,0.1251220703,2.234359741,9.555404663,9.813958287,13.1600286920293
0.252655029,0.04611206055,2.282241821,9.409362793,9.68229633,13.6336475213326
0.256652832,-0.01612854004,2.337310791,9.208251953,9.500272938,14.2424543390142
0.260681152,-0.08795166016,2.433074951,8.956848145,9.28184884,15.1966393942212
0.264678955,-0.1214752197,2.49772644,8.686309814,9.039102378,16.0409678348253
0.268676758,-0.1932983398,2.55039978,8.489990234,8.866895594,16.7162191643359
0.27267456,-0.1741485596,2.567153931,8.410980225,8.79574871,16.9695262969543
0.276672363,-0.1095123291,2.552780151,8.454071045,8.831760679,16.8008165394814
0.280700683,-0.0376739502,2.545608521,8.621673584,8.989705082,16.4494500397518
0.284698486,0.005416870117,2.526443481,8.863479614,9.216518696,15.909652319114
0.288696289,0.06288146973,2.55039978,9.150787354,9.499758013,15.5732416151058
0.292694092,0.1179351807,2.593490601,9.438095093,9.788653696,15.3639017098933
0.296691894,0.1730041504,2.64855957,9.696670532,10.05336847,15.2748697784678
0.300720215,0.2137145996,2.65335083,9.885803223,10.23792215,15.0207522251717
0.304718017,0.23046875,2.658126831,9.976791382,10.32739659,14.9150102962153
0.30871582,0.2161102295,2.638977051,9.993545532,10.33836814,14.7890217163714
0.312713623,0.1897735596,2.655731201,9.974395752,10.32363758,14.9068081384873
0.316711425,0.18019104,2.67010498,9.876235962,10.23239787,15.1262116079057
0.320739746,0.1418914795,2.67250061,9.701446533,10.06381923,15.3999518581852
0.324737549,0.1107635498,2.65335083,9.452453613,9.818422404,15.678672144912
0.328735351,0.07244873047,2.64855957,9.177124023,9.551948595,16.0979039024882
0.332733154,0.0006256103516,2.643768311,8.932907104,9.315918667,16.4865587110759
0.336730957,-0.09274291992,2.77784729,8.762924194,9.193142947,17.5876927284077
0.340759277,-0.1837310791,2.95022583,8.638427734,9.130171043,18.8522779976144
0.34475708,-0.2459716797,3.11541748,8.573776245,9.125566681,19.9618520286697
0.348754883,-0.2627410889,3.21836853,8.576171875,9.163932175,20.5607003333095
0.352752685,-0.2531585693,3.28302002,8.671951294,9.276047054,20.7275419125662
0.356750488,-0.2340087891,3.32131958,8.827575684,9.434617974,20.6118603469223
0.360778808,-0.1478118896,3.259078979,8.973617554,9.548259326,19.9577444244024
0.364776611,-0.0951385498,3.23034668,9.143600464,9.697918357,19.4568537676673
