Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0,0.1442718506,2.85446167,9.289642334,9.719373462
0.004028321,0.1466674805,2.85206604,9.272888184,9.702692787
0.008026123,0.1418914795,2.861633301,9.280075073,9.712305169
0.012054444,0.1466674805,2.85446167,9.301620483,9.730858461
0.016082764,0.1586456299,2.84487915,9.337539673,9.76258946
0.020111084,0.1586456299,2.84967041,9.351898193,9.777719044
0.024139405,0.1586456299,2.85206604,9.308807373,9.737214378
0.028167725,0.1538543701,2.84487915,9.251342773,9.680100808
0.032165528,0.1442718506,2.8568573,9.208251953,9.642320884
0.036193848,0.1394958496,2.861633301,9.186691284,9.623081678
0.040222168,0.1394958496,2.859237671,9.213027954,9.647516947
0.044219971,0.1371002197,2.859237671,9.260925293,9.693233403
0.048248291,0.1299133301,2.859237671,9.287261963,9.718299867
0.052276612,0.1179351807,2.866424561,9.280075073,9.713397543
0.056274414,0.1131591797,2.859237671,9.260925293,9.692924344
0.060302735,0.10597229,2.8568573,9.248947144,9.680696619
0.064300537,0.1107635498,2.859237671,9.251342773,9.683741619
0.068328858,0.1155548096,2.864028931,9.280075073,9.712662251
0.072357178,0.1203308105,2.84967041,9.311203003,9.738254582
0.076354981,0.1275177002,2.84727478,9.351898193,9.776565566
0.080383301,0.1155548096,2.840087891,9.373443604,9.794942426
0.084381104,0.1131591797,2.83052063,9.363876343,9.782986875
0.088409424,0.1155548096,2.7993927,9.330352783,9.741942079
0.092407227,0.1203308105,2.710800171,9.272888184,9.661747892
0.09640503,0.1131591797,2.586303711,9.203460693,9.560620305
0.10043335,0.1107635498,2.476165771,9.126846313,9.457430366
0.104431153,0.1251220703,2.382797241,9.057418823,9.366440838
0.108459473,0.1442718506,2.320556641,9.007125854,9.302371399
0.112457276,0.1658325195,2.277450562,8.980804443,9.266559768
0.116485596,0.1945495605,2.248718262,8.978408813,9.257775552
0.120483399,0.20652771,2.231964111,9.007125854,9.281844302
0.124481202,0.2017364502,2.217605591,9.057418823,9.327127526
0.128509522,0.2161102295,2.219985962,9.129241943,9.397771
0.132507325,0.2089233398,2.227172852,9.205856323,9.473739416
0.136505127,0.2089233398,2.215209961,9.272888184,9.536102946
0.140533448,0.2232818604,2.193649292,9.325561523,9.582695327
0.14453125,0.2352600098,2.169708252,9.366256714,9.617158936
0.148529053,0.2400512695,2.145767212,9.390213013,9.635249969
0.152557373,0.2711639404,2.157745361,9.402175903,9.650404481
0.156555176,0.3070831299,2.157745361,9.390213013,9.639827048
0.160552979,0.3070831299,2.138595581,9.347106934,9.593555083
0.164581299,0.2831420898,2.126617432,9.299224854,9.543492758
0.168579102,0.2424468994,2.109863281,9.234588623,9.47564935
0.172576905,0.2137145996,2.112258911,9.184310913,9.426498745
0.176605225,0.1993408203,2.126617432,9.134033203,9.380447805
0.180603028,0.1610412598,2.133804321,9.074172974,9.323071936
0.18460083,0.1514587402,2.164932251,9.050231934,9.306802322
0.188629151,0.1706085205,2.200836182,9.035858154,9.301586948
0.192626953,0.1490631104,2.193649292,9.021499634,9.285567978
0.196624756,0.1418914795,2.198440552,9.059799194,9.323799413
0.200622559,0.1371002197,2.172103882,9.122055054,9.378097896
