Event time (s),Interval (s),Dt,Dt1/Dt0
0.5941,6.9266,6.9266,0.0567
7.5208,0.3924,0.3924,0.8454
7.9132,0.3318,0.3318,0.8541
8.2450,0.2834,0.2834,0.8683
8.5284,0.2460,0.2460,0.8880
8.7744,0.2185,0.2185,0.8865
8.9929,0.1937,0.1937,0.8995
9.1866,0.1742,0.1742,0.8890
9.3608,0.1549,0.1549,2.4367
9.5157,0.3774,0.3774,0.2736
9.8931,0.1033,0.1033,1.7357
9.9964,0.1792,0.1792,0.8156
10.1756,0.1462,0.1462,48.9869
10.3218,7.1603,7.1603,0.0535
17.4820,0.3830,0.3830,0.8474
17.8650,0.3245,0.3245,0.8656
18.1895,0.2809,0.2809,0.8798
18.4703,0.2471,0.2471,0.8802
18.7174,0.2175,0.2175,0.8977
18.9349,0.1953,0.1953,0.9151
19.1302,0.1787,0.1787,0.8644
19.3089,0.1544,0.1544,0.9284
19.4633,0.1434,0.1434,0.8984
19.6067,0.1288,0.1288,0.9007
19.7355,0.1160,0.1160,0.9217
19.8515,0.1069,0.1069,5.9160
19.9584,0.6326,0.6326,12.1991
20.5911,7.7177,7.7177,0.0533
28.3088,0.4112,0.4112,0.8294
28.7200,0.3411,0.3411,0.8440
29.0611,0.2879,0.2879,0.8783
29.3490,0.2529,0.2529,0.8534
29.6019,0.2158,0.2158,0.7976
29.8177,0.1721,0.1721,0.7872
29.9898,0.1355,0.1355,2.8605
30.1253,0.3876,0.3876,0.4629
30.5129,0.1794,0.1794,1.3867
30.6923,0.2488,0.2488,35.5135
30.9411,8.8355,8.8355,0.0463
39.7766,0.4091,0.4091,0.8428
40.1856,0.3448,0.3448,0.8554
40.5304,0.2949,0.2949,0.8743
40.8253,0.2579,0.2579,0.8919
41.0832,0.2300,0.2300,0.8999
41.3132,0.2070,0.2070,0.8976
41.5201,0.1858,0.1858,0.8987
41.7059,0.1670,0.1670,0.9103
41.8729,0.1520,0.1520,0.9147
42.0248,0.1390,0.1390,0.9111
42.1639,0.1267,0.1267,0.9179
42.2905,0.1163,0.1163,0.9142
42.4068,0.1063,0.1063,1.7607
42.5131,0.1871,0.1871,0.8371
42.7002,0.1567,0.1567,1.2207
42.8569,0.1913,0.1913,42.3389
43.0481,8.0973,8.0973,0.0486
51.1455,0.3935,0.3935,0.8471
51.5390,0.3334,0.3334,0.8681
51.8723,0.2894,0.2894,0.8765
52.1617,0.2536,0.2536,0.8850
52.4153,0.2245,0.2245,0.8965
52.6398,0.2012,0.2012,0.8997
52.8410,0.1810,0.1810,0.9029
53.0221,0.1635,0.1635,0.8988
53.1855,0.1469,0.1469,0.9166
53.3324,0.1347,0.1347,0.9180
53.4671,0.1236,0.1236,0.9171
53.5907,0.1134,0.1134,0.9193
53.7041,0.1042,0.1042,2.5391
53.8083,0.2646,0.2646,34.0191
54.0730,9.0030,9.0030,0.0434
63.0760,0.3909,0.3909,0.8534
63.4669,0.3336,0.3336,0.8592
63.8005,0.2866,0.2866,0.8775
64.0871,0.2515,0.2515,0.8940
64.3386,0.2249,0.2249,0.8934
64.5635,0.2009,0.2009,0.8964
64.7644,0.1801,0.1801,0.8991
64.9445,0.1619,0.1619,0.8717
65.1064,0.1411,0.1411,0.9159
65.2475,0.1293,0.1293,0.9238
65.3768,0.1194,0.1194,0.9011
65.4962,0.1076,0.1076,2.5742
65.6038,0.2770,0.2770,0.7911
65.8808,0.2191,0.2191,0.5483
66.1000,0.1202,0.1202,77.1905
66.2201,9.2757,9.2757,0.0383
75.4959,0.3556,0.3556,0.8534
75.8515,0.3035,0.3035,0.8689
76.1549,0.2637,0.2637,0.8867
76.4186,0.2338,0.2338,0.8773
76.6524,0.2051,0.2051,0.8790
76.8576,0.1803,0.1803,0.8965
77.0379,0.1616,0.1616,0.9026
77.1995,0.1459,0.1459,0.9083
77.3454,0.1325,0.1325,0.9101
77.4779,0.1206,0.1206,0.9090
77.5985,0.1096,0.1096,2.4983
77.7082,0.2739,0.2739,0.5318
77.9820,0.1456,0.1456,0.8344
78.1277,0.1215,0.1215,0.8236
78.2492,0.1001,0.1001,1.8341
78.3493,0.1836,0.1836,0.6444
78.5329,0.1183,0.1183,74.2917
78.6511,8.7881,8.7881,0.0439
87.4392,0.3862,0.3862,0.8479
87.8255,0.3275,0.3275,0.8643
88.1529,0.2830,0.2830,0.8758
88.4360,0.2479,0.2479,0.8681
88.6839,0.2152,0.2152,0.8911
88.8990,0.1917,0.1917,0.9037
89.0908,0.1733,0.1733,0.9038
89.2641,0.1566,0.1566,0.9069
89.4207,0.1420,0.1420,0.9098
89.5628,0.1292,0.1292,0.9129
89.6920,0.1180,0.1180,0.9138
89.8100,0.1078,0.1078,1.7615
89.9178,0.1899,0.1899,0.8517
90.1077,0.1617,0.1617,0.8496
90.2694,0.1374,0.1374,1.2329
90.4069,0.1694,0.1694,0.7956
90.5763,0.1348,0.1348,70.8811
90.7111,9.5542,9.5542,0.0391
100.2653,0.3732,0.3732,0.8599
100.6385,0.3210,0.3210,0.8716
100.9594,0.2797,0.2797,0.8806
101.2392,0.2464,0.2464,0.8940
101.4855,0.2203,0.2203,0.8792
101.7058,0.1936,0.1936,0.8916
101.8994,0.1726,0.1726,0.9096
102.0721,0.1570,0.1570,0.9120
102.2291,0.1432,0.1432,0.9177
102.3724,0.1314,0.1314,0.9181
102.5038,0.1207,0.1207,0.9216
102.6245,0.1112,0.1112,0.9198
102.7357,0.1023,0.1023,1.7662
102.8380,0.1807,0.1807,58.3682
103.0186,10.5452,10.5452,0.0327
113.5638,0.3448,0.3448,0.8870
113.9086,0.3059,0.3059,0.8749
114.2145,0.2676,0.2676,0.9128
114.4821,0.2443,0.2443,0.8477
114.7264,0.2071,0.2071,0.8514
114.9334,0.1763,0.1763,0.9556
115.1097,0.1685,0.1685,0.8876
115.2782,0.1495,0.1495,0.9179
115.4277,0.1373,0.1373,0.9191
115.5650,0.1261,0.1261,0.9032
115.6911,0.1139,0.1139,0.9329
115.8050,0.1063,0.1063,77.2613
115.9113,8.2122,8.2122,0.0439
124.1236,0.3602,0.3602,0.8170
124.4838,0.2943,0.2943,0.9017
124.7780,0.2653,0.2653,0.8825
125.0434,0.2341,0.2341,0.8913
125.2775,0.2087,0.2087,0.8990
125.4862,0.1876,0.1876,0.9068
125.6738,0.1701,0.1701,0.9009
125.8439,0.1533,0.1533,0.9131
125.9972,0.1400,0.1400,0.9165
126.1371,0.1283,0.1283,1.7544
126.2654,0.2250,0.2250,0.8471
126.4905,0.1906,0.1906,0.8530
126.6811,0.1626,0.1626,1.2078
126.8437,0.1964,0.1964,46.1480
127.0401,9.0633,9.0633,0.0407
136.1034,0.3690,0.3690,0.8624
136.4724,0.3183,0.3183,0.8779
136.7907,0.2794,0.2794,0.8862
137.0701,0.2476,0.2476,0.8839
137.3177,0.2189,0.2189,0.8757
137.5366,0.1917,0.1917,0.9115
137.7283,0.1747,0.1747,0.9083
137.9030,0.1587,0.1587,0.9073
138.0616,0.1440,0.1440,0.9148
138.2056,0.1317,0.1317,0.9154
138.3373,0.1206,0.1206,1.7641
138.4579,0.2127,0.2127,46.9838
138.6706,9.9929,9.9929,0.0384
148.6635,0.3838,0.3838,0.8495
149.0472,0.3260,0.3260,0.8533
149.3732,0.2782,0.2782,0.8732
149.6514,0.2429,0.2429,0.8829
149.8943,0.2145,0.2145,0.8815
150.1088,0.1890,0.1890,0.8932
150.2978,0.1689,0.1689,0.9013
150.4666,0.1522,0.1522,0.9073
150.6188,0.1381,0.1381,0.9040
150.7569,0.1248,0.1248,0.9072
150.8818,0.1132,0.1132,0.9043
150.9950,0.1024,0.1024,1.7516
151.0974,0.1794,0.1794,0.8282
151.2768,0.1486,0.1486,0.8254
151.4254,0.1226,0.1226,1.5171
151.5480,0.1861,0.1861,42.2265
151.7341,7.8568,7.8568,0.0499
159.5909,0.3918,0.3918,0.8480
